id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
36923624,0.1156057512,-1,0.9521149897,1.2411159347,0,1,0.1156057512,1
36930273,0.1284920358,0,1.742587269,0.3190112158,0.6809887842,0.6287063655,0.0616813469,1.3096951497
36931075,0.5505178564,-0.422222222,0,0.7411809736,0.2588190264,1,0.4373288335,1.2588190264
36933476,0.5279668583,1,4.2184804928,0.6639640901,0.3360359099,0,1,0.3360359099
36934793,0.1107733945,1,1.005338809,0.7052044215,0.2947955785,0.9973305955,0.3136483744,1.2921261739
36939361,0.2259445631,0,0.5256673511,0.2484726418,0.7515273582,1,0.128998592,1.7515273582
36939654,0.1365459637,-0.111111111,2.6079671458,0.2853386033,0.7146613967,0.1960164271,0.0293904729,0.9106778238
36939782,0.4715893632,-0.222222222,0.4583162218,0.5398178025,0.4601821975,1,0.3229661093,1.4601821975
36940057,0.2718519519,0,0.855523614,0.3199675482,0.6800324518,1,0.1618135124,1.6800324518
36940407,0.4119902969,-0.466666667,2.3122792608,0.7908210413,0.2091789587,0.3438603696,0.2561610514,0.5530393283
36940865,0.1333243925,-1,2.9420944559,1.2114668841,0,0.0289527721,0.1333243925,0.0289527721
36941192,0.1252704646,0,0.8394250513,0.1625434283,0.8374565717,1,0.0681760138,1.8374565717
36942878,0.6342787063,-0.222222222,2.848788501,0.5739232196,0.4260767804,0.0756057495,0.0955885727,0.5016825299
36943029,0.548101678,0.8444444444,0,0.5477221353,0.4522778647,1,0.6403906792,1.4522778647
36943215,,-1,999,1.2671185682,0,0,,0
36943673,0.1848695309,0,1.3250102669,0.3313389076,0.6686610924,0.8374948665,0.1027963155,1.506155959
36944146,0.1220392986,0,0.9757700205,0.1625434283,0.8374565717,1,0.0664175145,1.8374565717
36944190,0.1819403871,0,1.1584394251,0.3455307116,0.6544692884,0.9207802875,0.1063495744,1.5752495759
36944244,0.2984299139,-1,0.4106776181,1.2282975131,0,1,0.2984299139,1
36944517,0.1220488935,-1,1.2323613963,1.2282975131,0,0.8838193018,0.1220488935,0.8838193018
36944525,0.3958824412,-0.333333333,5.4850102669,0.6543029281,0.3456970719,0,0,0.3456970719
36945448,0.6423326341,-0.2,1.5569609856,0.529446607,0.470553393,0.7215195072,0.3887811941,1.1920729002
36946192,0.2952083428,-0.111111111,3.5561396304,0.4523870442,0.5476129558,0,0,0.5476129558
36947604,0.29440295,-0.422222222,0.3219712526,0.781380623,0.218619377,1,0.2415872877,1.218619377
36947683,0.2855436293,0.7120567376,0.768788501,0.389047909,0.610952091,1,0.4472983313,1.610952091
36948135,0.1494322483,0,0.8542094456,0.2561833569,0.7438166431,1,0.085692638,1.7438166431
36948978,0.858983294,0,0,0.3277790098,0.6722209902,1,0.5136780958,1.6722209902
36950662,0.2380254549,0,1.0349075975,0.3196477583,0.6803522417,0.9825462012,0.140640583,1.6628984429
36960143,0.3507804451,0.3033630748,3.0012320329,0.163461089,0.836538911,0,0.3033630748,0.836538911
36960928,0.1711778535,0,1.2090349076,0.1625434283,0.8374565717,0.8954825462,0.0884547983,1.7329391179
36961589,0.4732001488,0.3273850377,3.6822997947,0.1591167074,0.8408832926,0,0.3273850377,0.8408832926
36962600,0.4136010825,0,2.0658726899,0.3575187515,0.6424812485,0.467063655,0.174105647,1.1095449035
36963070,0.2388308477,0.1373141158,1.9081724846,0.2589189371,0.7410810629,0.5459137577,0.1803751908,1.2869948206
36963544,0.3290348398,0,3.8794250513,0.3451439563,0.6548560437,0,0,0.6548560437
36965353,0.3386995533,0.7120567376,1.7741273101,0.4104515812,0.5895484188,0.612936345,0.5217473093,1.2024847638
36966903,0.3258132687,-0.139281629,2.146036961,0.4989869281,0.5010130719,0.4269815195,0.14991062,0.9279945914
36967643,0.1977558155,0.756501182,1.0266940452,0.4582263576,0.5417736424,0.9866529774,0.3958114555,1.5284266198
36968066,0.1590969617,0,0.0758932238,0.1625434283,0.8374565717,1,0.0865854269,1.8374565717
36968096,0.4442060084,0.7777777778,1.9824229979,0.4687165324,0.5312834676,0.508788501,0.6145991847,1.0400719687
36968262,,0.2,999,0.1973328324,0.8026671676,0,0.2,0.8026671676
36970116,0.1180219295,0,0.973798768,0.1625434283,0.8374565717,1,0.0642311396,1.8374565717
36970268,0.127686643,1,0.5243531828,0.6928698876,0.3071301124,1,0.3326499415,1.3071301124
36971881,0.1478214627,0,0.7658316222,0.1625434283,0.8374565717,1,0.0804489559,1.8374565717
36972328,0.1252704646,0,1.8858316222,0.1625434283,0.8374565717,0.5570841889,0.0500424205,1.3945407607
36973445,0.1292974286,0.2626401281,0.8147843943,0.1618814713,0.8381185287,1,0.1900970916,1.8381185287
36974600,0.283127451,-1,3.2634086242,1.2671185682,0,0,,0
36975161,0.135252774,0,0.9540862423,0.3052078391,0.6947921609,1,0.0798049325,1.6947921609
36975333,0.1445998915,0,3.2952772074,0.3003146173,0.6996853827,0,0,0.6996853827
36975376,0.4957511468,-0.133333333,2.1141683778,0.4598872886,0.5401127114,0.4429158111,0.2233668874,0.9830285225
36977494,0.1099680017,-0.8,1.0040246407,1.110873958,0,0.9979876797,0.1099680017,0.9979876797
36978032,,0.1780523145,999,0.1051393139,0.8948606861,0,0.1780523145,0.8948606861
36978092,,-1,999,1.2668846044,0,0,,0
36978169,0.2799058798,0,4.400164271,0.3040716267,0.6959283733,0,0,0.6959283733
36978464,,-0.133333333,999,0.335904729,0.664095271,0,0,0.664095271
36978972,0.385412335,-0.266666667,4.9399589322,0.5804112867,0.4195887133,0,0,0.4195887133
36979307,0.1631239256,-0.555555556,3.2867351129,0.8540082741,0.1459917259,0,0,0.1459917259
36980176,0.192118066,0,6.4742505133,0.1625434283,0.8374565717,0,0,0.8374565717
36981285,0.1945342443,0.9787234043,5.2474743326,0.6957114794,0.3042885206,0,0.9787234043,0.3042885206
36981461,0.2082259217,0,1.8588911704,0.1625434283,0.8374565717,0.5705544148,0.084377338,1.4080109865
36991984,0.6608566683,0.9333333333,0,0.6149995191,0.3850004809,1,0.7365993474,1.3850004809
36998345,0.7518660532,-0.333333333,0,0.6452608461,0.3547391539,1,0.5549895351,1.3547391539
36999670,0.2984299139,1,1.3963039014,0.6525495739,0.3474504261,0.8018480493,0.5105252317,1.1492984753
36999767,0.2589656673,-1,1.3867761807,1.2411159347,0,0.8066119097,0.2589656673,0.8066119097
37002006,0.3217863048,0,0.2749897331,0.3032458262,0.6967541738,1,0.1896481587,1.6967541738
37002861,0.2122528857,0.8,1.0335934292,0.5114012044,0.4885987956,0.9832032854,0.4073691556,1.471802081
37003024,0.3684990864,0,1.8822176591,0.336911674,0.663088326,0.5588911704,0.1685387409,1.2219794964
37003767,,0,999,0.3431339726,0.6568660274,0,0,0.6568660274
37003895,0.6189762433,0,0,0.3274622673,0.6725377327,1,0.3700820802,1.6725377327
37004154,,0.684740334,999,0.5235253172,0.4764746828,0,0.684740334,0.4764746828
37004522,,1,999,0.6767489372,0.3232510628,0,1,0.3232510628
